gvkey,ticker,compname,year,sic4,salesmillions,employees,breach,breachtype
25157,3511B,FIRST DATA CORP,2005,7374,9318.2002,33,0,
25157,3511B,FIRST DATA CORP,2006,7374,6044.4199,29,0,
25157,3511B,FIRST DATA CORP,2007,7374,6688.1401,27,0,
25157,3511B,FIRST DATA CORP,2008,7374,7047.3999,26.6,0,
25157,3511B,FIRST DATA CORP,2009,7374,7477.0898,24.9,0,
25157,3511B,FIRST DATA CORP,2010,7374,10380.4,24.5,0,
149578,3ROHI,ROTECH HEALTHCARE INC,2005,7350,470.12,4.6620002,0,
149578,3ROHI,ROTECH HEALTHCARE INC,2006,7350,426.01999,4.9000001,0,
149578,3ROHI,ROTECH HEALTHCARE INC,2007,7350,464.64001,4.8000002,0,
149578,3ROHI,ROTECH HEALTHCARE INC,2008,7350,435.53,3.8,0,
149578,3ROHI,ROTECH HEALTHCARE INC,2009,7350,385.23999,3.8,0,
149578,3ROHI,ROTECH HEALTHCARE INC,2010,7350,,3.8,0,
126554,A,"Agilent Technologies, Inc.",2005,3825,4531.1602,21,0,
126554,A,"Agilent Technologies, Inc.",2006,3825,4247.77,18.700001,0,
126554,A,"Agilent Technologies, Inc.",2007,3825,4502.29,19.4,0,
126554,A,"Agilent Technologies, Inc.",2008,3825,4618.1299,19.6,1,StolenLaptop
126554,A,"Agilent Technologies, Inc.",2009,3825,3597.3301,16.799999,0,
126554,A,"Agilent Technologies, Inc.",2010,3825,,18.5,0,
1356,AA,"Alcoa, Inc.",2005,3350,23064.92,129,0,
1356,AA,"Alcoa, Inc.",2006,3350,25948.73,123,0,
1356,AA,"Alcoa, Inc.",2007,3350,25541.75,107,0,
1356,AA,"Alcoa, Inc.",2008,3350,21515.801,87,0,
1356,AA,"Alcoa, Inc.",2009,3350,14802.78,59,0,
1356,AA,"Alcoa, Inc.",2010,3350,21010,59,1,Unintended Disclosure
99990010,AACE,ACE CASH EXPRESS INC,2005,6099,,,0,
99990010,AACE,ACE CASH EXPRESS INC,2006,6099,,,0,
99990010,AACE,ACE CASH EXPRESS INC,2007,6099,,,0,
99990010,AACE,ACE CASH EXPRESS INC,2008,6099,,,0,
99990010,AACE,ACE CASH EXPRESS INC,2009,6099,,,0,
99990010,AACE,ACE CASH EXPRESS INC,2010,6099,,,0,
14638,AAIIQ,ALABAMA AIRCRAFT INDUSTRIES,2005,3721,132.53,1.728,0,
14638,AAIIQ,ALABAMA AIRCRAFT INDUSTRIES,2006,3721,137.27,1.506,0,
14638,AAIIQ,ALABAMA AIRCRAFT INDUSTRIES,2007,3721,60.48,0.60799998,0,
14638,AAIIQ,ALABAMA AIRCRAFT INDUSTRIES,2008,3721,42.790001,0.61299998,0,
14638,AAIIQ,ALABAMA AIRCRAFT INDUSTRIES,2009,3721,50.720001,,0,
14638,AAIIQ,ALABAMA AIRCRAFT INDUSTRIES,2010,3721,,,0,
145977,AAP,"Advance Auto Parts, Inc.",2005,5531,3760.51,42.426998,0,
145977,AAP,"Advance Auto Parts, Inc.",2006,5531,3943.26,43.771999,0,
145977,AAP,"Advance Auto Parts, Inc.",2007,5531,4024.1499,44.064999,0,
145977,AAP,"Advance Auto Parts, Inc.",2008,5531,4112.8501,47.582001,1,Hack
145977,AAP,"Advance Auto Parts, Inc.",2009,5531,4345.2402,49,0,
145977,AAP,"Advance Auto Parts, Inc.",2010,5531,5925,51.016998,0,
1690,AAPL,"Apple, Inc.",2005,3571,12283.25,16.82,0,
1690,AAPL,"Apple, Inc.",2006,3571,16498.23,20.186001,0,
1690,AAPL,"Apple, Inc.",2007,3571,19941.311,23.700001,0,
1690,AAPL,"Apple, Inc.",2008,3571,25977.16,35.099998,0,
1690,AAPL,"Apple, Inc.",2009,3571,34444.02,36.799999,0,
1690,AAPL,"Apple, Inc.",2010,3571,,49.400002,1,Hack
31673,ABC,AMERISOURCEBERGEN CORP,2005,5122,48121.941,13.4,0,
31673,ABC,AMERISOURCEBERGEN CORP,2006,5122,52277.68,14.7,0,
31673,ABC,AMERISOURCEBERGEN CORP,2007,5122,54886.621,11.3,0,
31673,ABC,AMERISOURCEBERGEN CORP,2008,5122,56138.738,10.9,0,
31673,ABC,AMERISOURCEBERGEN CORP,2009,5122,57608.719,10.3,0,
31673,ABC,AMERISOURCEBERGEN CORP,2010,5122,,10,0,
99990003,ABI,Applera Corporation - Applied Biosystems Grou,2005,3826,4.9299998,,0,
99990003,ABI,Applera Corporation - Applied Biosystems Grou,2006,3826,4.5,,0,
99990003,ABI,Applera Corporation - Applied Biosystems Grou,2007,3826,,,1,StolenLaptop
99990003,ABI,Applera Corporation - Applied Biosystems Grou,2008,3826,,,0,
99990003,ABI,Applera Corporation - Applied Biosystems Grou,2009,3826,,,0,
99990003,ABI,Applera Corporation - Applied Biosystems Grou,2010,3826,,,0,
1078,ABT,ABBOTT LABORATORIES,2005,2834,19651.619,59.735001,0,
1078,ABT,ABBOTT LABORATORIES,2006,2834,19198.52,66.663002,0,
1078,ABT,ABBOTT LABORATORIES,2007,2834,21526.439,68,0,
1078,ABT,ABBOTT LABORATORIES,2008,2834,29527.5,69,0,
1078,ABT,ABBOTT LABORATORIES,2009,2834,30764.699,73,0,
