"X","gvkey","ticker","compname","year","sic4","salesmillions","employees","breach","breach_this_year","breachtype_this_year","bad_breach","internal_breach","rand_breach","breach_sum","bad_breach_sum","industry","industry_breach_sum","industry_bad_breach_sum","industry_translate","ag_frst_fsh","mining","construction","manuf","trn_comm_elc_gas","wholesale","retail","finance_insurance","services","mean_hits","max_hits","volume","price.open","price.high","price.low","price.close","price.adjusted","ret.adjusted.prices","ret.closing.prices","volume_pct","price.open_pct","price.high_pct","price.low_pct","price.close_pct","price.adjusted_pct","ret.adjusted.prices_pct","ret.closing.prices_pct","salesmillions_pct","employees_pct","mean_hits_pct","max_hits_pct"
1,25157,"3511B","FIRST DATA CORP",2005,7374,9318.2002,33,0,0,"",0,0,0,0,0,10,0,0,"Data processing and preparation",0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,25157,"3511B","FIRST DATA CORP",2006,7374,6044.4199,29,0,0,"",0,0,0,0,0,10,0,0,"Data processing and preparation",0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.648668173,0.878787879,NA,NA
3,25157,"3511B","FIRST DATA CORP",2007,7374,6688.1401,27,0,0,"",0,0,0,0,0,10,0,0,"Data processing and preparation",0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10649826,0.931034483,NA,NA
4,25157,"3511B","FIRST DATA CORP",2008,7374,7047.3999,26.6,0,0,"",0,0,0,0,0,10,0,0,"Data processing and preparation",0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05371595,0.985185185,NA,NA
5,25157,"3511B","FIRST DATA CORP",2009,7374,7477.0898,24.9,0,0,"",0,0,0,0,0,10,0,0,"Data processing and preparation",0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.060971409,0.936090226,NA,NA
6,149578,"3ROHI","ROTECH HEALTHCARE INC",2005,7350,470.12,4.6620002,0,0,"",0,0,0,0,0,10,0,0,"Building maintenance services, nec",0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,149578,"3ROHI","ROTECH HEALTHCARE INC",2006,7350,426.01999,4.9000001,0,0,"",0,0,0,0,0,10,0,0,"Building maintenance services, nec",0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.906194142,1.051051027,NA,NA
8,149578,"3ROHI","ROTECH HEALTHCARE INC",2007,7350,464.64001,4.8000002,0,0,"",0,0,0,0,0,10,0,0,"Building maintenance services, nec",0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09065307,0.979591858,NA,NA
9,149578,"3ROHI","ROTECH HEALTHCARE INC",2008,7350,435.53,3.8,0,0,"",0,0,0,0,0,10,0,0,"Building maintenance services, nec",0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.937349326,0.791666634,NA,NA
10,149578,"3ROHI","ROTECH HEALTHCARE INC",2009,7350,385.23999,3.8,0,0,"",0,0,0,0,0,10,0,0,"Building maintenance services, nec",0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.884531467,1,NA,NA
