ticker,,year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,industry_translate,ag_frst_fsh,mining,construction,not used,manuf,trn_comm_elc_gas,wholesale,retail,finance_insurance,services,pub_admin,nonclass
3511B,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data processing and preparation,0,0,0,0,0,0,0,0,0,1,0,0
3511B,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data processing and preparation,0,0,0,0,0,0,0,0,0,1,0,0
3511B,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data processing and preparation,0,0,0,0,0,0,0,0,0,1,0,0
3511B,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data processing and preparation,0,0,0,0,0,0,0,0,0,1,0,0
3511B,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data processing and preparation,0,0,0,0,0,0,0,0,0,1,0,0
3ROHI,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Building maintenance services, nec",0,0,0,0,0,0,0,0,0,1,0,0
3ROHI,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Building maintenance services, nec",0,0,0,0,0,0,0,0,0,1,0,0
3ROHI,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Building maintenance services, nec",0,0,0,0,0,0,0,0,0,1,0,0
3ROHI,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Building maintenance services, nec",0,0,0,0,0,0,0,0,0,1,0,0
3ROHI,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Building maintenance services, nec",0,0,0,0,0,0,0,0,0,1,0,0
A,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruments to measure electricity,0,0,0,0,1,0,0,0,0,0,0,0
A,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruments to measure electricity,0,0,0,0,1,0,0,0,0,0,0,0
A,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruments to measure electricity,0,0,0,0,1,0,0,0,0,0,0,0
A,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruments to measure electricity,0,0,0,0,1,0,0,0,0,0,0,0
A,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruments to measure electricity,0,0,0,0,1,0,0,0,0,0,0,0
AA,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secondary nonferrous metals,0,0,0,0,1,0,0,0,0,0,0,0
AA,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secondary nonferrous metals,0,0,0,0,1,0,0,0,0,0,0,0
AA,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secondary nonferrous metals,0,0,0,0,1,0,0,0,0,0,0,0
AA,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secondary nonferrous metals,0,0,0,0,1,0,0,0,0,0,0,0
AA,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secondary nonferrous metals,0,0,0,0,1,0,0,0,0,0,0,0
AACE,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Functions related to depository banking,0,0,0,0,0,0,0,0,1,0,0,0
AACE,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Functions related to depository banking,0,0,0,0,0,0,0,0,1,0,0,0
AACE,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Functions related to depository banking,0,0,0,0,0,0,0,0,1,0,0,0
AACE,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Functions related to depository banking,0,0,0,0,0,0,0,0,1,0,0,0
AACE,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Functions related to depository banking,0,0,0,0,0,0,0,0,1,0,0,0
AAIIQ,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft,0,0,0,0,1,0,0,0,0,0,0,0
AAIIQ,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft,0,0,0,0,1,0,0,0,0,0,0,0
AAIIQ,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft,0,0,0,0,1,0,0,0,0,0,0,0
AAIIQ,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft,0,0,0,0,1,0,0,0,0,0,0,0
AAIIQ,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft,0,0,0,0,1,0,0,0,0,0,0,0
AAP,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto and home supply stores,0,0,0,0,0,0,0,1,0,0,0,0
AAP,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto and home supply stores,0,0,0,0,0,0,0,1,0,0,0,0
AAP,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto and home supply stores,0,0,0,0,0,0,0,1,0,0,0,0
AAP,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto and home supply stores,0,0,0,0,0,0,0,1,0,0,0,0
AAP,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto and home supply stores,0,0,0,0,0,0,0,1,0,0,0,0
AAPL,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electronic computers,0,0,0,0,1,0,0,0,0,0,0,0
AAPL,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electronic computers,0,0,0,0,1,0,0,0,0,0,0,0
AAPL,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electronic computers,0,0,0,0,1,0,0,0,0,0,0,0
AAPL,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electronic computers,0,0,0,0,1,0,0,0,0,0,0,0
AAPL,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electronic computers,0,0,0,0,1,0,0,0,0,0,0,0
