"Date Made Public","Company","City","State","Type of breach","Type of organization","Total Records","Description of incident","Information Source","Source URL","Year of Breach","Latitude","Longitude"
"March 25, 2005","Purdue University","West Lafayette","Indiana","HACK","EDU","1,200","Computers in the College              of Liberal Arts' Theater Dept. were hacked, exposing personal information              of employees, students, graduates, and business affiliates.","Dataloss DB","","2005","40.425869","-86.908066"
"February 25, 2005","PayMaxx","Miramar","Florida","DISC","BSF","100,000","A software glitch at PayMaxx Inc., a Franklin, Tenn., payroll 
processing company, accidentally revealed personal financial 
information on as many as 100,000 individuals, including Social Security numbers. The problem arose in a PayMaxx feature that enabled employees to use the 
Internet to get their W-2 forms, the standard tax information form 
issued by companies to their employees. ","Dataloss DB","","2005","25.987314","-80.232271"
"May 28, 2005","Merlin Information Services","Kalispell","Montana","INSD","BSO","5,875","An individual fraudulently obtained personal information about thousands of victims 
from Merlin Information Services and used that information to commit 
identity theft by opening up credit card accounts. He posed as a private investigator, thus giving Merlin the impression that he was a legitimate user of their services. He conducted at least 1,873 queries through the Merlin system to 
obtain information on approximately 5,875 people.

","Media","","2005","48.200531","-114.315102"
"July 12, 2005","University of Southern California (USC) ","Los Angeles","California","DISC","EDU","270,000","A reporter contacted USC based on an individual's claim to be able to access personal information on college applicants online.  USC removed the site pending investigation and sent letters to affected individuals.","Security Breach Letter","","2005","34.052234","-118.243685"
"November 10, 2005","State of California - Department of Corrections and Rehabilitations (CDCR) Parole Outpatient Clinic","Sacramento","California","PORT","MED","0","On or around June 18, 2005 a laptop computer was stolen with information on parolees. It was unclear from the letter we recieved whether Social Security numbers were involved.  ","Security Breach Letter","","2005","38.581572","-121.494400"
"August 29, 2005","Iowa Student Loan","Des Moines","Iowa","PORT","BSF","0","A CD-Rom including Social Security numbers, last name and state of residence was lost while in transit from an outside business partner.","Security Breach Letter","","2005","41.600545","-93.609106"
"March 12, 2005","Las Vegas Department of Motor Vehicles (LV DMV)","Las Vegas","Nevada","STAT","GOV","8,900","A computer and holographic 
laminate materials were stolen from the Donovan office of the DMV in 
North Las Vegas. UPDATE. The equipment was 
recovered on June 1. ","Dataloss DB","","2005","36.114646","-115.172816"
"February 15, 2005","ChoicePoint","Alpharetta","Georgia","INSD","BSO","163,000","Fraudsters who presented themselves as legitimate ChoicePoint customers purchased data profiles from ChoicePoint on individuals and used that data to commit identity theft. The initial number of affected records was estimated at 145,000 
                but was later revised to 163,000. 

                UPDATE(1/26/06): 
                ChoicePoint settled with the Federal 
                Trade Commission for $10 million in civil penalties and $5 
                million for consumer redress.
                UPDATE (12/06/06): 
                The FTC 
                announced that victims of identity theft as a result of the 
                data breach who had out-of-pocket expenses can now be reimbursed. 
                The claims deadline is Feb. 4, 2007.
                UPDATE (06/24/07): 
                Starting Dec. 2006, the FTC began mailing claims forms to victims 
                of the breach. Its Web 
                site provides information about the claims process. Deadline 
                is Aug. 18, 2007. Victims can be reimbursed for out-of-pocket 
                expenses resulting from identity theft connected to the breach. 
                Call (888) 884-8772, or email cpredress@ftc.gov. 

                UPDATE (11/04/07): 
                Since its 2005 data security incident, ChoicePoint has implemented 
                enhancements to its privacy and information security framework 
                including the establishment of an Office of Privacy, Ethics and 
                Compliance to reinforce the responsible use and protection of 
                information at ChoicePoint through policies and procedures, audit 
                and compliance, and outreach and education. Visit www.privacyatchoicepoint.com.
                UPDATE (1/27/08): 
                Has agreed to pay $10 million to settle a class action lawsuit","Security Breach Letter","","2005","34.075376","-84.294090"
"February 18, 2005","University of Chicago Hospital","Chicago","Illinois","INSD","MED","85","The FBI launched an investigation into possible fraud by at least one hospital employee. As many as 85 patients may have been affected.  The hospital contacted all affected patients.","Dataloss DB","","2005","41.850033","-87.650052"
"February 25, 2005","Bank of America Corp.","Charlotte","North Carolina","PORT","BSF","1,200,000","Computer tapes with credit card information, Social Security numbers, addresses and account numbers were lost.  Bank of America began monitoring the customer accounts on the lost tapes and said it would contact cardholders if unusual activity was detected.  Around 900,000 of the account holders affected were Defense Department employees.","Dataloss DB","","2005","35.227087","-80.843127"
"May 14, 2005","Georgia Technology Authority (GTA)","Atlanta","Georgia","INSD","GOV","465,000","A former computer programmer for Georgia Technology Authority downloaded state driver's license information which contained names, addresses, driver's license numbers, and in some cases Social Security numbers.","Dataloss DB","","2005","33.748995","-84.387982"
"May 19, 2005","Valdosta State University","Valdosta","Georgia","HACK","EDU","40,000","A computer server containing campus ID card information and Social Security numbers was hacked. The cards were designed to be used as debit cards by students and employees.","Dataloss DB","","2005","30.832702","-83.278485"
"March 11, 2005","Boston College","Boston","Massachusetts","HACK","EDU","120,000","A hacker gained access to a phone banking database that included alumni addresses and Social Security numbers.","Dataloss DB","","2005","42.358431","-71.059773"
"April 8, 2005","Eastern National","Ft. Washington","Pennsylvania","HACK","NGO","15,000","A hacker gained access to a server containing the names, credit card information, and billing addresses of 15,000 customers.  Letters were mailed to all customers who bought products through the educational website for national parks.","Dataloss DB","","2005","40.138450","-75.191799"
"April 15, 2005","California Department of Health Services","Sacramento","California","PORT","GOV","21,600","A laptop containing the names, Social Security numbers, and medical information of Medi-Cal beneficiaries was stolen from the car trunk of an employee.  The Department of Health Services began notifying beneficiaries in late May.","Dataloss DB","","2005","38.581572","-121.494400"
"April 5, 2005","MCI","Colorado Springs","Colorado","PORT","BSO","16,500","A laptop containing names and Social Security numbers of current and
former employees was stolen from the car trunk of an MCI financial
analyst.  An MCI spokesperson stated that MCI would continue its policy
of allowing laptops to be taken home by employees and will evaluate new
security technologies.","Dataloss DB","","2005","38.833882","-104.821363"
"April 20, 2005","TD Ameritrade","Omaha","Nebraska","PORT","BSF","200,000","A backup tape was lost, stolen, or accidentally destroyed while being shipped.  The tape contained account information from clients or former clients between the years of 2001 and 2003.  Ameritrade notified the affected clients and offered one free year of credit protection services.","Dataloss DB","","2005","41.254006","-95.999258"
"April 21, 2005","Carnegie Mellon University","Pittsburgh","Pennsylvania","HACK","EDU","19,000","The compromised information included Social Security numbers and grades from master's alumni classes 1997 through 2004, job offer information from master's alumni classes 1985 through 2004, contact information for all alumni, and Social Security numbers and grades from doctoral students enrolled between 1998 and 2004.  Between 5,000 and 6,000 of those affected had their credit card information and Social Security numbers compromised. Emails and letters were sent to those who were affected.","Dataloss DB","","2005","40.440625","-79.995886"
"April 26, 2005","Christus St. Joseph's Hospital","Houston","Texas","STAT","MED","16,000","Two computers used for converting paper medical records into digital files were stolen.  One of the computers contained Social Security numbers and medical records for hundreds of patients.  Letters were sent to about 16,000 patients.","Dataloss DB","","2005","29.763284","-95.363272"
"April 26, 2005","Michigan State University's Wharton Center ","East Lansing","Michigan","HACK","EDU","40,000","A hacker may have stolen the credit card information of visitors attending a performing arts venue.  Warnings were sent to Wharton visitors who used their credit cards anytime between September of 2003 and the incident.","Dataloss DB","","2005","42.736979","-84.483865"
"March 20, 2005","Northwestern University","Evanston","Illinois","HACK","EDU","17,500","Hackers gained access to multiple computers and gathered user ID and password information from the University's network.  The personal information for around 500 faculty members, 2000 staff members, and 14,000 alumni was compromised.  ","Media","","2005","42.041141","-87.690059"
"December 20, 2005","Guidance Software, Inc.            ","Pasadena","California","HACK","BSO","3,800","A hacked database exposed credit card numbers of law enforcement officials and network security professionals.  The company is a leading provider of software used to diagnose hacked attacks.UPDATE
            (4/3/07): The FTC came to a settlement agreement and final 
            consent order against Guidance Software.","Dataloss DB","","2005","34.147785","-118.144516"
"April 28, 2005","Wachovia, Bank of America, PNC Financial Services Group and Commerce Bancorp ","Hackensack","New Jersey","INSD","BSF","676,000","Bank employees illegally sold account information to someone posing as a collection agency.  Customers affected were notified and received one year of free credit monitoring services. ","Dataloss DB","","2005","40.885933","-74.043474"
"May 4, 2005","Colorado Health Department","Denver","Colorado","PORT","GOV","1,600","A laptop containing Social Security numbers, medical records, family medical history, and addresses was stolen from an employee's car.  The State Health Department is not monitoring the affected group and has only contacted some of the families involved.","Dataloss DB","","2005","39.739154","-104.984703"
"April 8, 2005","San Jose Medical Group","San Jose","California","STAT","MED","187,000","UPDATE(10/10/07): 
              A former branch manager at the San Jose Medical Group has been sentenced 
              to almost two years in prison for stealing medical records for about 
              187,000 patients. The accused pleaded guilty in May to one count 
              of health care-related theft after he stole computer equipment from 
              his former employer, including a DVD that contained patients' names, 
              Social Security numbers, medical diagnoses and other information.","Dataloss DB","","2005","37.339386","-121.894956"
"May 5, 2005","Purdue University","West Lafayette","Indiana","HACK","EDU","11,360","Hackers accessed a program which contained University credit card information and the Social Security numbers of current and former employees. Letters were sent to employees and former employees.","Dataloss DB","","2005","40.425869","-86.908066"
"May 11, 2005","Stanford University","Stanford","California","HACK","EDU","9,900","The University's Career Development Center was hacked. This exposed the names, Social Security numbers, and other personal information of users. Names and credit card information for some employers that registered with the site were also in the database.","Dataloss DB","","2005","37.424106","-122.166076"
"May 12, 2005","Hinsdale Central High School","Hinsdale","Illinois","HACK","EDU","2,400","Two students were accused of hacking into the School's computer system and stealing student and staff Social Security numbers.  The students had the information for months before being caught.  Letters were sent to affected families. The Social Security Administration and the Federal Trade Commission were also notified.","Dataloss DB","","2005","41.800864","-87.937005"
"May 18, 2005","University of Iowa ","Iowa City","Iowa","HACK","EDU","30,000","A computer containing credit card numbers and campus ID numbers for University Book Store customers was breached by a hacker.","Dataloss DB","","2005","41.661128","-91.530168"
"May 16, 2005","Westborough Bank","Westborough","Massachusetts","INSD","BSF","750","A former employee who ran an investment program from 1998 to 2001 may have given Social Security numbers and account information to a convicted felon known for defrauding senior citizens.  The bank mailed warning letters.","Dataloss DB","","2005","42.269539","-71.616178"
"May 18, 2005","Jackson Community College","Jackson","Michigan","HACK","EDU","8,000","A hacker may have downloaded the passwords and Social Security numbers of employees and students.  The College sent new, high security passwords to students and employees.","Dataloss DB","","2005","42.245869","-84.401346"
"April 29, 2005","Oklahoma State University","Stillwater","Oklahoma","PORT","EDU","37,000","A laptop used for student job placement seminars was lost or stolen.  It contained the Social Security numbers of current and former students.","Dataloss DB","","2005","36.115607","-97.058368"
"May 30, 2005","Motorola","Schaumburg","Illinois","STAT","BSO","0","Two computers were stolen from third party vendor Affiliated Computer Services (ACS).  They had security safeguards and contained names and Social Security numbers of Motorola employees.  Motorola notified affected staff by email and offered fraud insurance coverage.","Dataloss DB","","2005","42.033361","-88.083406"
"June 6, 2005","Citigroup, UPS","New York","New York","PORT","BSF","3,900,000","Customers are being notified that backup tapes containing their account information were lost or stolen while being shipped by UPS.","Dataloss DB","","2005","40.714269","-74.005973"
"April 6, 2005","University of California, San Francisco (UCSF)","San Francisco","California","HACK","EDU","7,000","A server in the accounting 
            and personnel departments was hacked. It contained information on 
            7,000 students, faculty, and staff members. The affected individuals 
            were notified March 23.","Dataloss DB","","2005","37.774930","-122.419416"
"April 5, 2005","University of California, Davis","Davis","California","HACK","EDU","1,100","The names and Social Security 
            numbers of students, faculty, visiting speakers and staff may have 
            been compromised when a hacker accessed a main computer.","Dataloss DB","","2005","38.544907","-121.740517"
"March 20, 2005","University of Nevada, Las Vegas","Las Vegas","Nevada","HACK","EDU","5,000","A hacker was caught accessing the University's server and may have gotten information from the Student Exchange and Visitor Information System (SEVIS).","Dataloss DB","","2005","36.114646","-115.172816"
"March 16, 2005","California State University, Chico","Chico","California","HACK","EDU","59,000","A university housing and food service computer server containing names and Social Security numbers of faculty, staff, students, former students, and prospective students was hacked.","Dataloss DB","","2005","39.728494","-121.837478"
"March 11, 2005","University of California, Berkeley","Berkeley","California","PORT","EDU","98,400","A laptop containing the Social Security numbers of doctoral degree recipients from 1976 to 1999, graduate students enrolled between 1989 and 2003, and graduate school applicants between fall 2001 and spring of 2004 was stolen.  Birth dates and addresses for about one-third of the affected people were also on the laptop.","Dataloss DB","","2005","37.871593","-122.272747"
"January 18, 2005","University of California, San Diego","San Diego","California","HACK","EDU","3,500","A hacker breached the security of two University computers that stored the Social Security numbers and names of students and alumni of UCSD Extension.","Dataloss DB","","2005","32.715329","-117.157255"
"June 17, 2005","Kent State University","Kent","Ohio","PORT","EDU","1,400","A laptop containing the names, Social Security numbers, and in some cases birthdays of current and former University employees was stolen from a human resources administrator's car.  ","Dataloss DB","","2005","41.153667","-81.357886"
"January 10, 2005","George Mason University","Fairfax","Virginia","HACK","EDU","32,000","Names, photos, and Social Security numbers of 32,000 students and staff were compromised because of a hacker attack on the University's main ID server.","Dataloss DB","","2005","38.846224","-77.306373"
"April 15, 2005","Polo Ralph Lauren, HSBC","New York","New York","HACK","BSR","180,000","Credit card data was stolen. Individuals holding the HSBC-issued General Motors Mastercard were told their cards should be replaced.              UPDATE(07/10/07): U.S. Secret Service 
              agents found Ralph Polo Lauren customers' credit card numbers in 
              the hands of Eastern European cyber thieves who created high-quality 
              counterfeit credit cards. Victims are from the U.S., Europe, Asia 
              and Canada, among other places, Several Cuban nationals in Florida 
              were arrested with more than 200,000 credit card account numbers.","Dataloss DB","","2005","40.714269","-74.005973"
